category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual
bedrooms,stimuli/bedroom/img_rvssl.png,74.25,54.33333333333334,8681.361111111111,36,64.29166666666667,6,6,6
bedrooms,stimuli/bedroom/img_d9ogj.png,76.86842105263158,53.5,13807.81578947369,38,65.18421052631578,6,6,6
bedrooms,stimuli/bedroom/img_0eflx.png,76.05128205128206,53.53846153846154,10571.07692307692,39,64.7948717948718,6,6,6
bedrooms,stimuli/bedroom/img_d26ik.png,77.73809523809524,60.66666666666666,8690.785714285714,42,69.20238095238095,7,7,7
bedrooms,stimuli/bedroom/img_kzg3h.png,77.02777777777777,56.22222222222222,7990.972222222223,36,66.625,7,7,7
bedrooms,stimuli/bedroom/img_qbdgm.png,76.88095238095238,60.40476190476191,8352.952380952382,42,68.64285714285714,7,7,7
bedrooms,stimuli/bedroom/img_n9xll.png,77.14285714285714,59.21428571428572,6543.261904761905,42,68.17857142857143,7,7,7
bedrooms,stimuli/bedroom/img_a9acb.png,77.11428571428571,58.42857142857143,8144.285714285715,35,67.77142857142857,7,7,7
bedrooms,stimuli/bedroom/img_b2jli.png,83.15625,63.8125,7062.84375,32,73.484375,8,8,8
bedrooms,stimuli/bedroom/img_e26ut.png,81.07692307692308,61.28205128205128,8946.666666666666,39,71.17948717948718,8,8,8
bedrooms,stimuli/bedroom/img_7caxh.png,83.38095238095238,64.26190476190476,8894.904761904761,42,73.82142857142857,8,8,8
bedrooms,stimuli/bedroom/img_ose78.png,80.19444444444444,60.25,9251.694444444445,36,70.22222222222223,8,7,7
bedrooms,stimuli/bedroom/img_f4jxo.png,82.91666666666667,65.52777777777777,7034.138888888889,36,74.22222222222223,8,8,8
bedrooms,stimuli/bedroom/img_3h4c9.png,85.47619047619048,67.26190476190476,46284.23809523809,42,76.36904761904762,9,9,9
bedrooms,stimuli/bedroom/img_gqy6z.png,86.47368421052632,68.42105263157895,7366.157894736843,38,77.44736842105263,9,9,9
bedrooms,stimuli/bedroom/img_ycgfe.png,86.21875,66.78125,10100.9375,32,76.5,9,9,9
bedrooms,stimuli/bedroom/img_ic3os.png,84.79069767441861,66.16279069767442,7427.744186046511,43,75.47674418604652,9,9,9
bedrooms,stimuli/bedroom/img_fnu4h.png,85.87179487179488,70.71794871794872,7334.48717948718,39,78.2948717948718,9,9,9
bedrooms,stimuli/bedroom/img_x50f8.png,90.725,73.65,8638.275,40,82.1875,10,10,10
bedrooms,stimuli/bedroom/img_3bxjb.png,87.28571428571429,72.65714285714286,5755.028571428571,35,79.97142857142858,10,10,10
bedrooms,stimuli/bedroom/img_x0u5z.png,92,78.16216216216216,7312.648648648648,37,85.08108108108108,10,10,10
bedrooms,stimuli/bedroom/img_jge7p.png,90.42424242424242,75.63636363636364,6575.363636363636,33,83.03030303030303,10,10,10
bedrooms,stimuli/bedroom/img_ri0yx.png,88.96969696969697,77.15151515151516,5987.121212121212,33,83.06060606060606,10,10,10
kitchens,stimuli/kitchen/img_05flq.png,47.10344827586207,25.72413793103448,11482.48275862069,29,36.41379310344828,1,1,1
kitchens,stimuli/kitchen/img_t27my.png,46.25,20.5,9412.0625,32,33.375,1,1,1
kitchens,stimuli/kitchen/img_v176l.png,29.38709677419355,9.483870967741936,8479.09677419355,31,19.43548387096774,1,1,1
kitchens,stimuli/kitchen/img_faly8.png,33.41176470588236,19.23529411764706,22956.94117647059,34,26.32352941176471,1,1,1
kitchens,stimuli/kitchen/img_nyv2b.png,11.91176470588235,6.852941176470588,9233.85294117647,34,9.382352941176471,1,1,1
kitchens,stimuli/kitchen/img_es7o2.png,52.48571428571429,27.54285714285714,11953.8,35,40.01428571428572,2,2,2
kitchens,stimuli/kitchen/img_463mq.png,51.35294117647059,30.20588235294118,7505.676470588235,34,40.77941176470588,2,2,2
kitchens,stimuli/kitchen/img_411xa.png,51.03030303030303,28.93939393939394,8846.90909090909,33,39.98484848484848,2,2,2
kitchens,stimuli/kitchen/img_xtb79.png,55.59375,31.40625,7476.875,32,43.5,2,2,2
